Date,Gospels,Pentateuch,Epistles1,Epistles2,Wisdom,Psalms,Proverbs,History,Prophets,Acts
2023-06-17,John 11,Deuteronomy 15,Romans 12,1 John 3,Ecclesiastes 2,Psalms 18,Proverbs 13,1 Chronicles 17,Ezekiel 45,Acts 28
2023-06-18,John 12,Deuteronomy 16,Romans 13,1 John 4,Ecclesiastes 3,Psalms 19,Proverbs 14,1 Chronicles 18,Ezekiel 46,Acts 1
2023-06-19,John 13,Deuteronomy 17,Romans 14,1 John 5,Ecclesiastes 4,Psalms 20,Proverbs 15,1 Chronicles 19,Ezekiel 47,Acts 2
2023-06-20,John 14,Deuteronomy 18,Romans 15,2 John 1,Ecclesiastes 5,Psalms 21,Proverbs 16,1 Chronicles 20,Ezekiel 48,Acts 3
2023-06-21,John 15,Deuteronomy 19,Romans 16,3 John 1,Ecclesiastes 6,Psalms 22,Proverbs 17,1 Chronicles 21,Daniel 1,Acts 4
2023-06-22,John 16,Deuteronomy 20,1 Corinthians 1,Jude 1,Ecclesiastes 7,Psalms 23,Proverbs 18,1 Chronicles 22,Daniel 2,Acts 5
2023-06-23,John 17,Deuteronomy 21,1 Corinthians 2,Revelation 1,Ecclesiastes 8,Psalms 24,Proverbs 19,1 Chronicles 23,Daniel 3,Acts 6
2023-06-24,John 18,Deuteronomy 22,1 Corinthians 3,Revelation 2,Ecclesiastes 9,Psalms 25,Proverbs 20,1 Chronicles 24,Daniel 4,Acts 7
2023-06-25,John 19,Deuteronomy 23,1 Corinthians 4,Revelation 3,Ecclesiastes 10,Psalms 26,Proverbs 21,1 Chronicles 25,Daniel 5,Acts 8
2023-06-26,John 20,Deuteronomy 24,1 Corinthians 5,Revelation 4,Ecclesiastes 11,Psalms 27,Proverbs 22,1 Chronicles 26,Daniel 6,Acts 9
2023-06-27,John 21,Deuteronomy 25,1 Corinthians 6,Revelation 5,Ecclesiastes 12,Psalms 28,Proverbs 23,1 Chronicles 27,Daniel 7,Acts 10
2023-06-28,Matthew 1,Deuteronomy 26,1 Corinthians 7,Revelation 6,Song of Songs 1,Psalms 29,Proverbs 24,1 Chronicles 28,Daniel 8,Acts 11
2023-06-29,Matthew 2,Deuteronomy 27,1 Corinthians 8,Revelation 7,Song of Songs 2,Psalms 30,Proverbs 25,1 Chronicles 29,Daniel 9,Acts 12
2023-06-30,Matthew 3,Deuteronomy 28,1 Corinthians 9,Revelation 8,Song of Songs 3,Psalms 31,Proverbs 26,2 Chronicles 1,Daniel 10,Acts 13
2023-07-01,Matthew 4,Deuteronomy 29,1 Corinthians 10,Revelation 9,Song of Songs 4,Psalms 32,Proverbs 27,2 Chronicles 2,Daniel 11,Acts 14
2023-07-02,Matthew 5,Deuteronomy 30,1 Corinthians 11,Revelation 10,Song of Songs 5,Psalms 33,Proverbs 28,2 Chronicles 3,Daniel 12,Acts 15
2023-07-03,Matthew 6,Deuteronomy 31,1 Corinthians 12,Revelation 11,Song of Songs 6,Psalms 34,Proverbs 29,2 Chronicles 4,Hosea 1,Acts 16
2023-07-04,Matthew 7,Deuteronomy 32,1 Corinthians 13,Revelation 12,Song of Songs 7,Psalms 35,Proverbs 30,2 Chronicles 5,Hosea 2,Acts 17
2023-07-05,Matthew 8,Deuteronomy 33,1 Corinthians 14,Revelation 13,Song of Songs 8,Psalms 36,Proverbs 31,2 Chronicles 6,Hosea 3,Acts 18
2023-07-06,Matthew 9,Deuteronomy 34,1 Corinthians 15,Revelation 14,Job 1,Psalms 37,Proverbs 1,2 Chronicles 7,Hosea 4,Acts 19
2023-07-07,Matthew 10,Genesis 1,1 Corinthians 16,Revelation 15,Job 2,Psalms 38,Proverbs 2,2 Chronicles 8,Hosea 5,Acts 20
2023-07-08,Matthew 11,Genesis 2,2 Corinthians 1,Revelation 16,Job 3,Psalms 39,Proverbs 3,2 Chronicles 9,Hosea 6,Acts 21
2023-07-09,Matthew 12,Genesis 3,2 Corinthians 2,Revelation 17,Job 4,Psalms 40,Proverbs 4,2 Chronicles 10,Hosea 7,Acts 22
2023-07-10,Matthew 13,Genesis 4,2 Corinthians 3,Revelation 18,Job 5,Psalms 41,Proverbs 5,2 Chronicles 11,Hosea 8,Acts 23
2023-07-11,Matthew 14,Genesis 5,2 Corinthians 4,Revelation 19,Job 6,Psalms 42,Proverbs 6,2 Chronicles 12,Hosea 9,Acts 24
2023-07-12,Matthew 15,Genesis 6,2 Corinthians 5,Revelation 20,Job 7,Psalms 43,Proverbs 7,2 Chronicles 13,Hosea 10,Acts 25
2023-07-13,Matthew 16,Genesis 7,2 Corinthians 6,Revelation 21,Job 8,Psalms 44,Proverbs 8,2 Chronicles 14,Hosea 11,Acts 26
2023-07-14,Matthew 17,Genesis 8,2 Corinthians 7,Revelation 22,Job 9,Psalms 45,Proverbs 9,2 Chronicles 15,Hosea 12,Acts 27
2023-07-15,Matthew 18,Genesis 9,2 Corinthians 8,1 Thessalonians 1,Job 10,Psalms 46,Proverbs 10,2 Chronicles 16,Hosea 13,Acts 28
2023-07-16,Matthew 19,Genesis 10,2 Corinthians 9,1 Thessalonians 2,Job 11,Psalms 47,Proverbs 11,2 Chronicles 17,Hosea 14,Acts 1
2023-07-17,Matthew 20,Genesis 11,2 Corinthians 10,1 Thessalonians 3,Job 12,Psalms 48,Proverbs 12,2 Chronicles 18,Joel 1,Acts 2
2023-07-18,Matthew 21,Genesis 12,2 Corinthians 11,1 Thessalonians 4,Job 13,Psalms 49,Proverbs 13,2 Chronicles 19,Joel 2,Acts 3
2023-07-19,Matthew 22,Genesis 13,2 Corinthians 12,1 Thessalonians 5,Job 14,Psalms 50,Proverbs 14,2 Chronicles 20,Joel 3,Acts 4
2023-07-20,Matthew 23,Genesis 14,2 Corinthians 13,2 Thessalonians 1,Job 15,Psalms 51,Proverbs 15,2 Chronicles 21,Amos 1,Acts 5
2023-07-21,Matthew 24,Genesis 15,Galatians 1,2 Thessalonians 2,Job 16,Psalms 52,Proverbs 16,2 Chronicles 22,Amos 2,Acts 6
2023-07-22,Matthew 25,Genesis 16,Galatians 2,2 Thessalonians 3,Job 17,Psalms 53,Proverbs 17,2 Chronicles 23,Amos 3,Acts 7
2023-07-23,Matthew 26,Genesis 17,Galatians 3,1 Timothy 1,Job 18,Psalms 54,Proverbs 18,2 Chronicles 24,Amos 4,Acts 8
2023-07-24,Matthew 27,Genesis 18,Galatians 4,1 Timothy 2,Job 19,Psalms 55,Proverbs 19,2 Chronicles 25,Amos 5,Acts 9
2023-07-25,Matthew 28,Genesis 19,Galatians 5,1 Timothy 3,Job 20,Psalms 56,Proverbs 20,2 Chronicles 26,Amos 6,Acts 10
2023-07-26,Mark 1,Genesis 20,Galatians 6,1 Timothy 4,Job 21,Psalms 57,Proverbs 21,2 Chronicles 27,Amos 7,Acts 11
2023-07-27,Mark 2,Genesis 21,Ephesians 1,1 Timothy 5,Job 22,Psalms 58,Proverbs 22,2 Chronicles 28,Amos 8,Acts 12
2023-07-28,Mark 3,Genesis 22,Ephesians 2,1 Timothy 6,Job 23,Psalms 59,Proverbs 23,2 Chronicles 29,Amos 9,Acts 13
2023-07-29,Mark 4,Genesis 23,Ephesians 3,2 Timothy 1,Job 24,Psalms 60,Proverbs 24,2 Chronicles 30,Obadiah 1,Acts 14
2023-07-30,Mark 5,Genesis 24,Ephesians 4,2 Timothy 2,Job 25,Psalms 61,Proverbs 25,2 Chronicles 31,Jonah 1,Acts 15
2023-07-31,Mark 6,Genesis 25,Ephesians 5,2 Timothy 3,Job 26,Psalms 62,Proverbs 26,2 Chronicles 32,Jonah 2,Acts 16
2023-08-01,Mark 7,Genesis 26,Ephesians 6,2 Timothy 4,Job 27,Psalms 63,Proverbs 27,2 Chronicles 33,Jonah 3,Acts 17
2023-08-02,Mark 8,Genesis 27,Philippians 1,Titus 1,Job 28,Psalms 64,Proverbs 28,2 Chronicles 34,Jonah 4,Acts 18
2023-08-03,Mark 9,Genesis 28,Philippians 2,Titus 2,Job 29,Psalms 65,Proverbs 29,2 Chronicles 35,Micah 1,Acts 19
2023-08-04,Mark 10,Genesis 29,Philippians 3,Titus 3,Job 30,Psalms 66,Proverbs 30,2 Chronicles 36,Micah 2,Acts 20
2023-08-05,Mark 11,Genesis 30,Philippians 4,Philemon 1,Job 31,Psalms 67,Proverbs 31,Ezra 1,Micah 3,Acts 21
2023-08-06,Mark 12,Genesis 31,Colossians 1,James 1,Job 32,Psalms 68,Proverbs 1,Ezra 2,Micah 4,Acts 22
2023-08-07,Mark 13,Genesis 32,Colossians 2,James 2,Job 33,Psalms 69,Proverbs 2,Ezra 3,Micah 5,Acts 23
2023-08-08,Mark 14,Genesis 33,Colossians 3,James 3,Job 34,Psalms 70,Proverbs 3,Ezra 4,Micah 6,Acts 24
2023-08-09,Mark 15,Genesis 34,Colossians 4,James 4,Job 35,Psalms 71,Proverbs 4,Ezra 5,Micah 7,Acts 25
2023-08-10,Mark 16,Genesis 35,Hebrews 1,James 5,Job 36,Psalms 72,Proverbs 5,Ezra 6,Nahum 1,Acts 26
2023-08-11,Luke 1,Genesis 36,Hebrews 2,1 Peter 1,Job 37,Psalms 73,Proverbs 6,Ezra 7,Nahum 2,Acts 27
2023-08-12,Luke 2,Genesis 37,Hebrews 3,1 Peter 2,Job 38,Psalms 74,Proverbs 7,Ezra 8,Nahum 3,Acts 28
2023-08-13,Luke 3,Genesis 38,Hebrews 4,1 Peter 3,Job 39,Psalms 75,Proverbs 8,Ezra 9,Habakkuk 1,Acts 1
2023-08-14,Luke 4,Genesis 39,Hebrews 5,1 Peter 4,Job 40,Psalms 76,Proverbs 9,Ezra 10,Habakkuk 2,Acts 2
2023-08-15,Luke 5,Genesis 40,Hebrews 6,1 Peter 5,Job 41,Psalms 77,Proverbs 10,Nehemiah 1,Habakkuk 3,Acts 3
2023-08-16,Luke 6,Genesis 41,Hebrews 7,2 Peter 1,Job 42,Psalms 78,Proverbs 11,Nehemiah 2,Zephaniah 1,Acts 4
2023-08-17,Luke 7,Genesis 42,Hebrews 8,2 Peter 2,Ecclesiastes 1,Psalms 79,Proverbs 12,Nehemiah 3,Zephaniah 2,Acts 5
2023-08-18,Luke 8,Genesis 43,Hebrews 9,2 Peter 3,Ecclesiastes 2,Psalms 80,Proverbs 13,Nehemiah 4,Zephaniah 3,Acts 6
2023-08-19,Luke 9,Genesis 44,Hebrews 10,1 John 1,Ecclesiastes 3,Psalms 81,Proverbs 14,Nehemiah 5,Haggai 1,Acts 7
2023-08-20,Luke 10,Genesis 45,Hebrews 11,1 John 2,Ecclesiastes 4,Psalms 82,Proverbs 15,Nehemiah 6,Haggai 2,Acts 8
2023-08-21,Luke 11,Genesis 46,Hebrews 12,1 John 3,Ecclesiastes 5,Psalms 83,Proverbs 16,Nehemiah 7,Zechariah 1,Acts 9
2023-08-22,Luke 12,Genesis 47,Hebrews 13,1 John 4,Ecclesiastes 6,Psalms 84,Proverbs 17,Nehemiah 8,Zechariah 2,Acts 10
2023-08-23,Luke 13,Genesis 48,Romans 1,1 John 5,Ecclesiastes 7,Psalms 85,Proverbs 18,Nehemiah 9,Zechariah 3,Acts 11
2023-08-24,Luke 14,Genesis 49,Romans 2,2 John 1,Ecclesiastes 8,Psalms 86,Proverbs 19,Nehemiah 10,Zechariah 4,Acts 12
2023-08-25,Luke 15,Genesis 50,Romans 3,3 John 1,Ecclesiastes 9,Psalms 87,Proverbs 20,Nehemiah 11,Zechariah 5,Acts 13
2023-08-26,Luke 16,Exodus 1,Romans 4,Jude 1,Ecclesiastes 10,Psalms 88,Proverbs 21,Nehemiah 12,Zechariah 6,Acts 14
2023-08-27,Luke 17,Exodus 2,Romans 5,Revelation 1,Ecclesiastes 11,Psalms 89,Proverbs 22,Nehemiah 13,Zechariah 7,Acts 15
2023-08-28,Luke 18,Exodus 3,Romans 6,Revelation 2,Ecclesiastes 12,Psalms 90,Proverbs 23,Esther 1,Zechariah 8,Acts 16
2023-08-29,Luke 19,Exodus 4,Romans 7,Revelation 3,Song of Songs 1,Psalms 91,Proverbs 24,Esther 2,Zechariah 9,Acts 17
2023-08-30,Luke 20,Exodus 5,Romans 8,Revelation 4,Song of Songs 2,Psalms 92,Proverbs 25,Esther 3,Zechariah 10,Acts 18
2023-08-31,Luke 21,Exodus 6,Romans 9,Revelation 5,Song of Songs 3,Psalms 93,Proverbs 26,Esther 4,Zechariah 11,Acts 19
2023-09-01,Luke 22,Exodus 7,Romans 10,Revelation 6,Song of Songs 4,Psalms 94,Proverbs 27,Esther 5,Zechariah 12,Acts 20
2023-09-02,Luke 23,Exodus 8,Romans 11,Revelation 7,Song of Songs 5,Psalms 95,Proverbs 28,Esther 6,Zechariah 13,Acts 21
2023-09-03,Luke 24,Exodus 9,Romans 12,Revelation 8,Song of Songs 6,Psalms 96,Proverbs 29,Esther 7,Zechariah 14,Acts 22
2023-09-04,John 1,Exodus 10,Romans 13,Revelation 9,Song of Songs 7,Psalms 97,Proverbs 30,Esther 8,Malachi 1,Acts 23
2023-09-05,John 2,Exodus 11,Romans 14,Revelation 10,Song of Songs 8,Psalms 98,Proverbs 31,Esther 9,Malachi 2,Acts 24
2023-09-06,John 3,Exodus 12,Romans 15,Revelation 11,Job 1,Psalms 99,Proverbs 1,Esther 10,Malachi 3,Acts 25
2023-09-07,John 4,Exodus 13,Romans 16,Revelation 12,Job 2,Psalms 100,Proverbs 2,Joshua 1,Malachi 4,Acts 26
2023-09-08,John 5,Exodus 14,1 Corinthians 1,Revelation 13,Job 3,Psalms 101,Proverbs 3,Joshua 2,Isaiah 1,Acts 27
2023-09-09,John 6,Exodus 15,1 Corinthians 2,Revelation 14,Job 4,Psalms 102,Proverbs 4,Joshua 3,Isaiah 2,Acts 28
2023-09-10,John 7,Exodus 16,1 Corinthians 3,Revelation 15,Job 5,Psalms 103,Proverbs 5,Joshua 4,Isaiah 3,Acts 1
2023-09-11,John 8,Exodus 17,1 Corinthians 4,Revelation 16,Job 6,Psalms 104,Proverbs 6,Joshua 5,Isaiah 4,Acts 2
2023-09-12,John 9,Exodus 18,1 Corinthians 5,Revelation 17,Job 7,Psalms 105,Proverbs 7,Joshua 6,Isaiah 5,Acts 3
2023-09-13,John 10,Exodus 19,1 Corinthians 6,Revelation 18,Job 8,Psalms 106,Proverbs 8,Joshua 7,Isaiah 6,Acts 4
2023-09-14,John 11,Exodus 20,1 Corinthians 7,Revelation 19,Job 9,Psalms 107,Proverbs 9,Joshua 8,Isaiah 7,Acts 5
2023-09-15,John 12,Exodus 21,1 Corinthians 8,Revelation 20,Job 10,Psalms 108,Proverbs 10,Joshua 9,Isaiah 8,Acts 6
2023-09-16,John 13,Exodus 22,1 Corinthians 9,Revelation 21,Job 11,Psalms 109,Proverbs 11,Joshua 10,Isaiah 9,Acts 7
2023-09-17,John 14,Exodus 23,1 Corinthians 10,Revelation 22,Job 12,Psalms 110,Proverbs 12,Joshua 11,Isaiah 10,Acts 8
2023-09-18,John 15,Exodus 24,1 Corinthians 11,1 Thessalonians 1,Job 13,Psalms 111,Proverbs 13,Joshua 12,Isaiah 11,Acts 9
2023-09-19,John 16,Exodus 25,1 Corinthians 12,1 Thessalonians 2,Job 14,Psalms 112,Proverbs 14,Joshua 13,Isaiah 12,Acts 10
2023-09-20,John 17,Exodus 26,1 Corinthians 13,1 Thessalonians 3,Job 15,Psalms 113,Proverbs 15,Joshua 14,Isaiah 13,Acts 11
2023-09-21,John 18,Exodus 27,1 Corinthians 14,1 Thessalonians 4,Job 16,Psalms 114,Proverbs 16,Joshua 15,Isaiah 14,Acts 12
2023-09-22,John 19,Exodus 28,1 Corinthians 15,1 Thessalonians 5,Job 17,Psalms 115,Proverbs 17,Joshua 16,Isaiah 15,Acts 13
2023-09-23,John 20,Exodus 29,1 Corinthians 16,2 Thessalonians 1,Job 18,Psalms 116,Proverbs 18,Joshua 17,Isaiah 16,Acts 14
2023-09-24,John 21,Exodus 30,2 Corinthians 1,2 Thessalonians 2,Job 19,Psalms 117,Proverbs 19,Joshua 18,Isaiah 17,Acts 15
2023-09-25,Matthew 1,Exodus 31,2 Corinthians 2,2 Thessalonians 3,Job 20,Psalms 118,Proverbs 20,Joshua 19,Isaiah 18,Acts 16
2023-09-26,Matthew 2,Exodus 32,2 Corinthians 3,1 Timothy 1,Job 21,Psalms 119,Proverbs 21,Joshua 20,Isaiah 19,Acts 17
2023-09-27,Matthew 3,Exodus 33,2 Corinthians 4,1 Timothy 2,Job 22,Psalms 120,Proverbs 22,Joshua 21,Isaiah 20,Acts 18
2023-09-28,Matthew 4,Exodus 34,2 Corinthians 5,1 Timothy 3,Job 23,Psalms 121,Proverbs 23,Joshua 22,Isaiah 21,Acts 19
2023-09-29,Matthew 5,Exodus 35,2 Corinthians 6,1 Timothy 4,Job 24,Psalms 122,Proverbs 24,Joshua 23,Isaiah 22,Acts 20
2023-09-30,Matthew 6,Exodus 36,2 Corinthians 7,1 Timothy 5,Job 25,Psalms 123,Proverbs 25,Joshua 24,Isaiah 23,Acts 21
2023-10-01,Matthew 7,Exodus 37,2 Corinthians 8,1 Timothy 6,Job 26,Psalms 124,Proverbs 26,Judges 1,Isaiah 24,Acts 22
2023-10-02,Matthew 8,Exodus 38,2 Corinthians 9,2 Timothy 1,Job 27,Psalms 125,Proverbs 27,Judges 2,Isaiah 25,Acts 23
2023-10-03,Matthew 9,Exodus 39,2 Corinthians 10,2 Timothy 2,Job 28,Psalms 126,Proverbs 28,Judges 3,Isaiah 26,Acts 24
2023-10-04,Matthew 10,Exodus 40,2 Corinthians 11,2 Timothy 3,Job 29,Psalms 127,Proverbs 29,Judges 4,Isaiah 27,Acts 25
2023-10-05,Matthew 11,Leviticus 1,2 Corinthians 12,2 Timothy 4,Job 30,Psalms 128,Proverbs 30,Judges 5,Isaiah 28,Acts 26
2023-10-06,Matthew 12,Leviticus 2,2 Corinthians 13,Titus 1,Job 31,Psalms 129,Proverbs 31,Judges 6,Isaiah 29,Acts 27
2023-10-07,Matthew 13,Leviticus 3,Galatians 1,Titus 2,Job 32,Psalms 130,Proverbs 1,Judges 7,Isaiah 30,Acts 28
2023-10-08,Matthew 14,Leviticus 4,Galatians 2,Titus 3,Job 33,Psalms 131,Proverbs 2,Judges 8,Isaiah 31,Acts 1
2023-10-09,Matthew 15,Leviticus 5,Galatians 3,Philemon 1,Job 34,Psalms 132,Proverbs 3,Judges 9,Isaiah 32,Acts 2
2023-10-10,Matthew 16,Leviticus 6,Galatians 4,James 1,Job 35,Psalms 133,Proverbs 4,Judges 10,Isaiah 33,Acts 3
2023-10-11,Matthew 17,Leviticus 7,Galatians 5,James 2,Job 36,Psalms 134,Proverbs 5,Judges 11,Isaiah 34,Acts 4
2023-10-12,Matthew 18,Leviticus 8,Galatians 6,James 3,Job 37,Psalms 135,Proverbs 6,Judges 12,Isaiah 35,Acts 5
2023-10-13,Matthew 19,Leviticus 9,Ephesians 1,James 4,Job 38,Psalms 136,Proverbs 7,Judges 13,Isaiah 36,Acts 6
2023-10-14,Matthew 20,Leviticus 10,Ephesians 2,James 5,Job 39,Psalms 137,Proverbs 8,Judges 14,Isaiah 37,Acts 7
2023-10-15,Matthew 21,Leviticus 11,Ephesians 3,1 Peter 1,Job 40,Psalms 138,Proverbs 9,Judges 15,Isaiah 38,Acts 8
2023-10-16,Matthew 22,Leviticus 12,Ephesians 4,1 Peter 2,Job 41,Psalms 139,Proverbs 10,Judges 16,Isaiah 39,Acts 9
2023-10-17,Matthew 23,Leviticus 13,Ephesians 5,1 Peter 3,Job 42,Psalms 140,Proverbs 11,Judges 17,Isaiah 40,Acts 10
2023-10-18,Matthew 24,Leviticus 14,Ephesians 6,1 Peter 4,Ecclesiastes 1,Psalms 141,Proverbs 12,Judges 18,Isaiah 41,Acts 11
2023-10-19,Matthew 25,Leviticus 15,Philippians 1,1 Peter 5,Ecclesiastes 2,Psalms 142,Proverbs 13,Judges 19,Isaiah 42,Acts 12
2023-10-20,Matthew 26,Leviticus 16,Philippians 2,2 Peter 1,Ecclesiastes 3,Psalms 143,Proverbs 14,Judges 20,Isaiah 43,Acts 13
2023-10-21,Matthew 27,Leviticus 17,Philippians 3,2 Peter 2,Ecclesiastes 4,Psalms 144,Proverbs 15,Judges 21,Isaiah 44,Acts 14
2023-10-22,Matthew 28,Leviticus 18,Philippians 4,2 Peter 3,Ecclesiastes 5,Psalms 145,Proverbs 16,Ruth 1,Isaiah 45,Acts 15
2023-10-23,Mark 1,Leviticus 19,Colossians 1,1 John 1,Ecclesiastes 6,Psalms 146,Proverbs 17,Ruth 2,Isaiah 46,Acts 16
2023-10-24,Mark 2,Leviticus 20,Colossians 2,1 John 2,Ecclesiastes 7,Psalms 147,Proverbs 18,Ruth 3,Isaiah 47,Acts 17
2023-10-25,Mark 3,Leviticus 21,Colossians 3,1 John 3,Ecclesiastes 8,Psalms 148,Proverbs 19,Ruth 4,Isaiah 48,Acts 18
2023-10-26,Mark 4,Leviticus 22,Colossians 4,1 John 4,Ecclesiastes 9,Psalms 149,Proverbs 20,1 Samuel 1,Isaiah 49,Acts 19
2023-10-27,Mark 5,Leviticus 23,Hebrews 1,1 John 5,Ecclesiastes 10,Psalms 150,Proverbs 21,1 Samuel 2,Isaiah 50,Acts 20
2023-10-28,Mark 6,Leviticus 24,Hebrews 2,2 John 1,Ecclesiastes 11,Psalms 1,Proverbs 22,1 Samuel 3,Isaiah 51,Acts 21
2023-10-29,Mark 7,Leviticus 25,Hebrews 3,3 John 1,Ecclesiastes 12,Psalms 2,Proverbs 23,1 Samuel 4,Isaiah 52,Acts 22
2023-10-30,Mark 8,Leviticus 26,Hebrews 4,Jude 1,Song of Songs 1,Psalms 3,Proverbs 24,1 Samuel 5,Isaiah 53,Acts 23
2023-10-31,Mark 9,Leviticus 27,Hebrews 5,Revelation 1,Song of Songs 2,Psalms 4,Proverbs 25,1 Samuel 6,Isaiah 54,Acts 24
2023-11-01,Mark 10,Numbers 1,Hebrews 6,Revelation 2,Song of Songs 3,Psalms 5,Proverbs 26,1 Samuel 7,Isaiah 55,Acts 25
2023-11-02,Mark 11,Numbers 2,Hebrews 7,Revelation 3,Song of Songs 4,Psalms 6,Proverbs 27,1 Samuel 8,Isaiah 56,Acts 26
2023-11-03,Mark 12,Numbers 3,Hebrews 8,Revelation 4,Song of Songs 5,Psalms 7,Proverbs 28,1 Samuel 9,Isaiah 57,Acts 27
2023-11-04,Mark 13,Numbers 4,Hebrews 9,Revelation 5,Song of Songs 6,Psalms 8,Proverbs 29,1 Samuel 10,Isaiah 58,Acts 28
2023-11-05,Mark 14,Numbers 5,Hebrews 10,Revelation 6,Song of Songs 7,Psalms 9,Proverbs 30,1 Samuel 11,Isaiah 59,Acts 1
2023-11-06,Mark 15,Numbers 6,Hebrews 11,Revelation 7,Song of Songs 8,Psalms 10,Proverbs 31,1 Samuel 12,Isaiah 60,Acts 2
2023-11-07,Mark 16,Numbers 7,Hebrews 12,Revelation 8,Job 1,Psalms 11,Proverbs 1,1 Samuel 13,Isaiah 61,Acts 3
2023-11-08,Luke 1,Numbers 8,Hebrews 13,Revelation 9,Job 2,Psalms 12,Proverbs 2,1 Samuel 14,Isaiah 62,Acts 4
2023-11-09,Luke 2,Numbers 9,Romans 1,Revelation 10,Job 3,Psalms 13,Proverbs 3,1 Samuel 15,Isaiah 63,Acts 5
2023-11-10,Luke 3,Numbers 10,Romans 2,Revelation 11,Job 4,Psalms 14,Proverbs 4,1 Samuel 16,Isaiah 64,Acts 6
2023-11-11,Luke 4,Numbers 11,Romans 3,Revelation 12,Job 5,Psalms 15,Proverbs 5,1 Samuel 17,Isaiah 65,Acts 7
2023-11-12,Luke 5,Numbers 12,Romans 4,Revelation 13,Job 6,Psalms 16,Proverbs 6,1 Samuel 18,Isaiah 66,Acts 8
2023-11-13,Luke 6,Numbers 13,Romans 5,Revelation 14,Job 7,Psalms 17,Proverbs 7,1 Samuel 19,Jeremiah 1,Acts 9
2023-11-14,Luke 7,Numbers 14,Romans 6,Revelation 15,Job 8,Psalms 18,Proverbs 8,1 Samuel 20,Jeremiah 2,Acts 10
2023-11-15,Luke 8,Numbers 15,Romans 7,Revelation 16,Job 9,Psalms 19,Proverbs 9,1 Samuel 21,Jeremiah 3,Acts 11
2023-11-16,Luke 9,Numbers 16,Romans 8,Revelation 17,Job 10,Psalms 20,Proverbs 10,1 Samuel 22,Jeremiah 4,Acts 12
2023-11-17,Luke 10,Numbers 17,Romans 9,Revelation 18,Job 11,Psalms 21,Proverbs 11,1 Samuel 23,Jeremiah 5,Acts 13
2023-11-18,Luke 11,Numbers 18,Romans 10,Revelation 19,Job 12,Psalms 22,Proverbs 12,1 Samuel 24,Jeremiah 6,Acts 14
2023-11-19,Luke 12,Numbers 19,Romans 11,Revelation 20,Job 13,Psalms 23,Proverbs 13,1 Samuel 25,Jeremiah 7,Acts 15
2023-11-20,Luke 13,Numbers 20,Romans 12,Revelation 21,Job 14,Psalms 24,Proverbs 14,1 Samuel 26,Jeremiah 8,Acts 16
2023-11-21,Luke 14,Numbers 21,Romans 13,Revelation 22,Job 15,Psalms 25,Proverbs 15,1 Samuel 27,Jeremiah 9,Acts 17
2023-11-22,Luke 15,Numbers 22,Romans 14,1 Thessalonians 1,Job 16,Psalms 26,Proverbs 16,1 Samuel 28,Jeremiah 10,Acts 18
2023-11-23,Luke 16,Numbers 23,Romans 15,1 Thessalonians 2,Job 17,Psalms 27,Proverbs 17,1 Samuel 29,Jeremiah 11,Acts 19
2023-11-24,Luke 17,Numbers 24,Romans 16,1 Thessalonians 3,Job 18,Psalms 28,Proverbs 18,1 Samuel 30,Jeremiah 12,Acts 20
2023-11-25,Luke 18,Numbers 25,1 Corinthians 1,1 Thessalonians 4,Job 19,Psalms 29,Proverbs 19,1 Samuel 31,Jeremiah 13,Acts 21
2023-11-26,Luke 19,Numbers 26,1 Corinthians 2,1 Thessalonians 5,Job 20,Psalms 30,Proverbs 20,2 Samuel 1,Jeremiah 14,Acts 22
2023-11-27,Luke 20,Numbers 27,1 Corinthians 3,2 Thessalonians 1,Job 21,Psalms 31,Proverbs 21,2 Samuel 2,Jeremiah 15,Acts 23
2023-11-28,Luke 21,Numbers 28,1 Corinthians 4,2 Thessalonians 2,Job 22,Psalms 32,Proverbs 22,2 Samuel 3,Jeremiah 16,Acts 24
2023-11-29,Luke 22,Numbers 29,1 Corinthians 5,2 Thessalonians 3,Job 23,Psalms 33,Proverbs 23,2 Samuel 4,Jeremiah 17,Acts 25
2023-11-30,Luke 23,Numbers 30,1 Corinthians 6,1 Timothy 1,Job 24,Psalms 34,Proverbs 24,2 Samuel 5,Jeremiah 18,Acts 26
2023-12-01,Luke 24,Numbers 31,1 Corinthians 7,1 Timothy 2,Job 25,Psalms 35,Proverbs 25,2 Samuel 6,Jeremiah 19,Acts 27
2023-12-02,John 1,Numbers 32,1 Corinthians 8,1 Timothy 3,Job 26,Psalms 36,Proverbs 26,2 Samuel 7,Jeremiah 20,Acts 28
2023-12-03,John 2,Numbers 33,1 Corinthians 9,1 Timothy 4,Job 27,Psalms 37,Proverbs 27,2 Samuel 8,Jeremiah 21,Acts 1
2023-12-04,John 3,Numbers 34,1 Corinthians 10,1 Timothy 5,Job 28,Psalms 38,Proverbs 28,2 Samuel 9,Jeremiah 22,Acts 2
2023-12-05,John 4,Numbers 35,1 Corinthians 11,1 Timothy 6,Job 29,Psalms 39,Proverbs 29,2 Samuel 10,Jeremiah 23,Acts 3
2023-12-06,John 5,Numbers 36,1 Corinthians 12,2 Timothy 1,Job 30,Psalms 40,Proverbs 30,2 Samuel 11,Jeremiah 24,Acts 4
2023-12-07,John 6,Deuteronomy 1,1 Corinthians 13,2 Timothy 2,Job 31,Psalms 41,Proverbs 31,2 Samuel 12,Jeremiah 25,Acts 5
