Date,Gospels,Pentateuch,Epistles1,Epistles2,Wisdom,Psalms,Proverbs,History,Prophets,Acts
Tue 2/14,Luke 1,Gen 45,2Cor 13,Rev 2,Eccles 3,Psalm 45,Prov 14,Judges 21,Isaiah 45,Acts 17
Wed 2/15,Luke 2,Gen 46,Gal 1,Rev 3,Eccles 4,Psalm 46,Prov 15,Ruth 1,Isaiah 46,Acts 18
Thu 2/16,Luke 3,Gen 47,Gal 2,Rev 4,Eccles 5,Psalm 47,Prov 16,Ruth 2,Isaiah 47,Acts 19
Fri 2/17,Luke 4,Gen 48,Gal 3,Rev 5,Eccles 6,Psalm 48,Prov 17,Ruth 3,Isaiah 48,Acts 20
Sat 2/18,Luke 5,Gen 49,Gal 4,Rev 6,Eccles 7,Psalm 49,Prov 18,Ruth 4,Isaiah 49,Acts 21
L.D. 2/19,Luke 6,Gen 50,Gal 5,Rev 7,Eccles 8,Psalm 50,Prov 19,1Sam 1,Isaiah 50,Acts 22
Mon 2/20,Luke 7,Exod 1,Gal 6,Rev 8,Eccles 9,Psalm 51,Prov 20,1Sam 2,Isaiah 51,Acts 23
Tue 2/21,Luke 8,Exod 2,Eph 1,Rev 9,Eccles 10,Psalm 52,Prov 21,1Sam 3,Isaiah 52,Acts 24
Wed 2/22,Luke 9,Exod 3,Eph 2,Rev 10,Eccles 11,Psalm 53,Prov 22,1Sam 4,Isaiah 53,Acts 25
Thu 2/23,Luke 10,Exod 4,Eph 3,Rev 11,Eccles 12,Psalm 54,Prov 23,1Sam 5,Isaiah 54,Acts 26
Fri 2/24,Luke 11,Exod 5,Eph 4,Rev 12,Song 1,Psalm 55,Prov 24,1Sam 6,Isaiah 55,Acts 27
Sat 2/25,Luke 12,Exod 6,Eph 5,Rev 13,Song 2,Psalm 56,Prov 25,1Sam 7,Isaiah 56,Acts 28
L.D. 2/26,Luke 13,Exod 7,Eph 6,Rev 14,Song 3,Psalm 57,Prov 26,1Sam 8,Isaiah 57,Acts 1
Mon 2/27,Luke 14,Exod 8,Phil 1,Rev 15,Song 4,Psalm 58,Prov 27,1Sam 9,Isaiah 58,Acts 2
Tue 2/28,Luke 15,Exod 9,Phil 2,Rev 16,Song 5,Psalm 59,Prov 28,1Sam 10,Isaiah 59,Acts 3
Wed 3/1,Luke 16,Exod 10,Phil 3,Rev 17,Song 6,Psalm 60,Prov 29,1Sam 11,Isaiah 60,Acts 4
Thu 3/2,Luke 17,Exod 11,Phil 4,Rev 18,Song 7,Psalm 61,Prov 30,1Sam 12,Isaiah 61,Acts 5
Fri 3/3,Luke 18,Exod 12,Col 1,Rev 19,Song 8,Psalm 62,Prov 31,1Sam 13,Isaiah 62,Acts 6
Sat 3/4,Luke 19,Exod 13,Col 2,Rev 20,Job 1,Psalm 63,Prov 1,1Sam 14,Isaiah 63,Acts 7
L.D. 3/5,Luke 20,Exod 14,Col 3,Rev 21,Job 2,Psalm 64,Prov 2,1Sam 15,Isaiah 64,Acts 8
Mon 3/6,Luke 21,Exod 15,Col 4,Rev 22,Job 3,Psalm 65,Prov 3,1Sam 16,Isaiah 65,Acts 9
Tue 3/7,Luke 22,Exod 16,Heb 1,1Thess 1,Job 4,Psalm 66,Prov 4,1Sam 17,Isaiah 66,Acts 10
Wed 3/8,Luke 23,Exod 17,Heb 2,1Thess 2,Job 5,Psalm 67,Prov 5,1Sam 18,Jer 1,Acts 11
